Date,Start,End
2018-10-08,9:00,12:07
2018-10-08,13:04,19:00
2018-10-09,10:03,11:57
2018-10-09,12:46,19:10
2018-10-10,10:02,12:05
2018-10-10,13:03,19:15
2018-10-11,10:04,12:00
2018-10-11,13:10,18:36
2018-10-15,10:28,12:05
2018-10-15,13:08,19:38
2018-10-16,10:18,12:02
2018-10-16,13:09,19:17
2018-10-17,09:47,12:01
2018-10-17,13:02,18:48
2018-10-18,10:28,12:03
2018-10-18,12:45,19:12
2018-10-19,10:41,11:47
2018-10-19,12:45,19:38
2018-10-22,10:30,12:06
2018-10-22,13:00,19:34
2018-10-23,10:16,12:07
2018-10-23,13:00,19:10
2018-10-24,10:27,12:02
2018-10-24,13:00,19:46
2018-10-25,10:40,12:12
2018-10-25,13:05,19:40
2018-10-26,09:50,12:12
2018-10-26,13:18,18:18
2018-10-29,09:33,12:10
2018-10-29,13:10,19:50
2018-10-30,10:20,12:04
2018-10-30,13:04,19:06
2018-10-31,10:08,12:00
2018-10-31,12:51,18:23
2018-11-01,10:29,12:05
2018-11-01,13:41,19:04
2018-11-05,09:52,12:06
2018-11-05,13:08,19:13
2018-11-06,09:27,12:07
2018-11-06,13:16,19:24
2018-11-07,09:29,12:08
2018-11-07,13:18,18:48
2018-11-08,12:16,19:50
2018-11-09,10:40,12:06
2018-11-09,13:07,18:52
2018-11-12,09:28,11:48
2018-11-12,13:06,19:33
2018-11-13,09:55,